ISIN;Name;Price;Nominal;Coupon;ACI;Coupon_date;Coupon_days;Expiration_date
RU000A0JVNL1;ВЭБUSD1P-1;99.85;1000;20;1051.01;25.07.2019;182;17.07.2025
RU000A0ZYLH3;ВЭБПБО1Р10;100.28;1000;40.89;1.35;19.12.2019;182;18.06.2020
RU000A0ZYLJ9;ВЭБПБО1Р11;0;1000;41.09;1.35;19.12.2019;182;15.12.2022
RU000A0JVRV1;ВЭБлиз2Р-1;0;1000;41.59;24.45;09.09.2019;182;01.09.2025
RU000A0JUEE7;ВЭБлизБ01;0;1000;40.79;34.74;23.07.2019;182;16.01.2024
RU000A0JVKC6;ВЭБлизБ03;104.8;200;13.05;0.07;24.12.2019;182;23.06.2020
RU000A0JV8D0;ВЭБлизБ04;99.6;1000;40.34;30.59;09.08.2019;182;31.01.2025
RU000A0JV8G3;ВЭБлизБ05;100.1;1000;40.34;29.7;13.08.2019;182;04.02.2025
RU000A0JV9D8;ВЭБлизБ06;100.2;1000;41.59;27.42;27.08.2019;182;18.02.2025
RU000A0JV9H9;ВЭБлизБ07;100.2;1000;41.59;26.96;29.08.2019;182;20.02.2025
RU000A0JVQQ3;ВЭБлизБ09;0;1000;41.59;27.65;26.08.2019;182;18.08.2025
RU000A0JREW5;ВЭБлизинг3;98.2;1000;36.25;16.33;04.10.2019;182;02.04.2021
RU000A0JREX3;ВЭБлизинг4;98.9;1000;36.25;16.33;04.10.2019;182;02.04.2021
RU000A0JREZ8;ВЭБлизинг5;98.4;1000;36.25;16.33;04.10.2019;182;02.04.2021
RU000A0JRUY7;ВЭБлизинг8;100.37;1000;50.36;17.71;22.10.2019;182;19.10.2021
RU000A0JRV52;ВЭБлизинг9;100.4;1000;50.36;17.43;23.10.2019;182;20.10.2021
RU000A0JUHV4;ВейлФин1;95;1000;49.86;0;11.09.2019;182;08.03.2023
RU000A0JTWT9;ВерЦемЗав1;84.13;1000;1.25;0.68;06.08.2019;91;04.05.2021
