INSTRUMENT_ID;SUPERTYPE;ISIN
8937;Облигации;RU000A0JVLA8
11611;Облигации;RU000A0ZZYS0
9558;Облигации;RU000A0JWU31
9559;Облигации;RU000A0JWU23
10542;Облигации;RU000A0ZYBA9
10679;Облигации;
10680;Облигации;RU000A0ZYGG5
150;Акции;RU0009100945
5201;Акции;JE00B6T5S470
8933;Облигации;RU000A0JVL33
9396;Облигации;RU000A0JWKB6
5313;Облигации;RU000A0JU286
5974;Облигации;RU000A0JUQB7
10053;Облигации;RU000A0JXTW1
779;Облигации;RU000A0JNYN1
5409;Облигации;RU000A0JU674
6144;Облигации;RU000A0JUWB5
9737;Облигации;RU000A0JX215
10720;Облигации;RU000A0ZYKW4
9712;Облигации;RU000A0JX0Z8
182;Акции;RU0009028674
4825;Облигации;RU000A0JTM28
4841;Облигации;RU000A0JTM36
4842;Облигации;RU000A0JTM44
4843;Облигации;RU000A0JTM51
136;Акции;RU000A0DQZE3
180;Акции;RU0009062285
10936;Облигации;RU000A0ZZ1H2
215;Акции;RU0007661625
3604;Облигации;RU000A0ZZER4
3619;Облигации;RU000A0ZZES2
3620;Облигации;RU000A0ZZET0
216;Акции;RU0007288411
95;Акции;RU000A0JP7J7
9831;Облигации;RU000A0JXK40
9936;Облигации;RU000A0JXQ93
10450;Облигации;RU000A0JXY44
10941;Облигации;RU000A0ZZ1M2
11003;Облигации;RU000A0ZZ3S5
11141;Облигации;RU000A0ZZAW2
11146;Облигации;RU000A0ZZBJ7
120;Акции;RU000A0JPFP0
9556;Облигации;RU000A0JWU98
9916;Облигации;RU000A0JXPM0
10548;Облигации;RU000A0ZYBV5
9027;Облигации;RU000A0JVUJ0
5775;Акции;RU000A0JSQ90
5938;Облигации;RU000A1009B9
8647;Акции;RU000A0JPNM1
11733;Облигации;RU000A1003C0
11844;Облигации;RU000A1007V1
12286;Облигации;RU000A100FR7
123;Акции;RU000A0JPGA0
9484;Облигации;RU000A0JWN63
9486;Облигации;RU000A0JWN89
272;Акции;RU000A0JKQU8
11720;Облигации;RU000A1002U4
11771;Облигации;RU000A1004G9
18;Акции;RU0009084396
1660;Акции;RU000A0DKXV5
1496;Акции;RU000A0JPV70
283;Акции;RU0007775219
3191;Облигации;RU000A0JR4J2
4932;Облигации;RU000A0JTTA5
9815;Облигации;RU000A0JXEV5
4933;Облигации;RU000A0JWRV9
9887;Облигации;RU000A0JXMH7
10624;Облигации;RU000A0ZYFC6
10888;Облигации;RU000A0ZYWX7
10889;Облигации;RU000A0ZYWY5
11705;Облигации;RU000A100238
11897;Облигации;RU000A100A58
11898;Облигации;RU000A100A66
4834;Акции;RU000A0JR4A1
8808;Акции;RU000A0JVBT9
268;Акции;RU0009024277
23;Акции;RU000A0J2Q06
4526;Облигации;RU000A0JT940
4527;Облигации;RU000A0JT965
5164;Облигации;RU000A0JTYL2
4956;Облигации;RU000A0JTS06
4957;Облигации;RU000A0JTS22
5165;Облигации;RU000A0JTYM0
5166;Облигации;RU000A0JTYN8
5480;Облигации;RU000A0JUFU0
9723;Облигации;RU000A0JX132
10701;Облигации;RU000A0ZYJH7
10702;Облигации;RU000A0ZYJJ3
10732;Облигации;RU000A0ZYLG5
9946;Облигации;RU000A0JXQK2
10835;Облигации;RU000A0ZYT40
9975;Облигации;RU000A0JXR68
10882;Облигации;RU000A0ZYVU5
10448;Облигации;RU000A0JXXD3
11859;Облигации;RU000A1008P1
5495;Облигации;RU000A0JUFV8
10449;Облигации;RU000A0JXXE1
11860;Облигации;RU000A1008Q9
10563;Облигации;RU000A0ZYCP5
286;Акции;RU0009046452
302;Акции;RU000A0JNAA8
6035;Облигации;RU000A0JVMD0
6036;Облигации;RU000A0JVM99
6037;Облигации;RU000A0JVMB4
1717;Акции;RU000A0JPVJ0
1718;Акции;RU000A0JPVK8
313;Акции;RU0008943394
314;Акции;RU0009046700
4232;Облигации;RU000A0JVFC6
9554;Облигации;RU000A0JWTN2
9921;Облигации;RU000A0JXPN8
10636;Облигации;RU000A0ZYG52
10899;Облигации;RU000A0ZYYE3
11848;Облигации;RU000A100881
9162;Акции;RU000A0JVW89
1186;Акции;RU0009029540
1187;Акции;RU0009029557
9075;Облигации;RU000A0JVWL2
10550;Облигации;RU000A0ZYBS1
10863;Облигации;RU000A0ZYUJ0
10937;Облигации;RU000A0ZZ117
11149;Облигации;RU000A0ZZBN9
11191;Облигации;RU000A0ZZE20
4709;Облигации;RU000A0JXRW5
4727;Облигации;RU000A0JWUE9
11613;Облигации;RU000A0ZZWZ9
11615;Облигации;RU000A0ZZXS2
11616;Облигации;
11839;Облигации;RU000A100758
195;Акции;RU0009046510
3687;Акции;RU000A0JPR50
4256;Акции;RU000A0JS2J5
5202;Облигации;RU000A0JTZ49
10891;Облигации;RU000A0ZYX28
10892;Облигации;RU000A0ZYWZ2
12254;Облигации;RU000A100DZ5
5639;Облигации;RU000A0JWPA7
5642;Облигации;RU000A0ZYJR6
1183;Акции;RU0009033591
1184;Акции;RU0006944147
1209;Акции;RU000A0JNUD0
11000;Облигации;
5576;Облигации;RU000A0JUUG8
5840;Облигации;RU000A0JUWW1
5841;Облигации;RU000A0JUX30
5842;Облигации;RU000A0JUWA7
5843;Облигации;RU000A0JUXT5
1230;Акции;RU0009091573
2679;Облигации;RU000A0JQCR1
10602;Облигации;RU000A0ZYDD9
